Value,Channel,Image_Source,ROI_Label
63,G,VIS,orange
68,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
64,G,VIS,orange
72,G,VIS,orange
72,G,VIS,orange
71,G,VIS,orange
67,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
62,G,VIS,orange
66,G,VIS,orange
66,G,VIS,orange
65,G,VIS,orange
67,G,VIS,orange
72,G,VIS,orange
72,G,VIS,orange
66,G,VIS,orange
74,G,VIS,orange
71,G,VIS,orange
77,G,VIS,orange
73,G,VIS,orange
72,G,VIS,orange
76,G,VIS,orange
69,G,VIS,orange
69,G,VIS,orange
77,G,VIS,orange
76,G,VIS,orange
69,G,VIS,orange
67,G,VIS,orange
70,G,VIS,orange
71,G,VIS,orange
76,G,VIS,orange
77,G,VIS,orange
78,G,VIS,orange
76,G,VIS,orange
72,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
74,G,VIS,orange
70,G,VIS,orange
72,G,VIS,orange
75,G,VIS,orange
80,G,VIS,orange
80,G,VIS,orange
84,G,VIS,orange
77,G,VIS,orange
79,G,VIS,orange
81,G,VIS,orange
81,G,VIS,orange
77,G,VIS,orange
74,G,VIS,orange
68,G,VIS,orange
71,G,VIS,orange
66,G,VIS,orange
67,G,VIS,orange
66,G,VIS,orange
71,G,VIS,orange
75,G,VIS,orange
72,G,VIS,orange
74,G,VIS,orange
77,G,VIS,orange
73,G,VIS,orange
70,G,VIS,orange
74,G,VIS,orange
75,G,VIS,orange
76,G,VIS,orange
74,G,VIS,orange
71,G,VIS,orange
74,G,VIS,orange
76,G,VIS,orange
70,G,VIS,orange
70,G,VIS,orange
70,G,VIS,orange
68,G,VIS,orange
68,G,VIS,orange
66,G,VIS,orange
70,G,VIS,orange
77,G,VIS,orange
71,G,VIS,orange
66,G,VIS,orange
65,G,VIS,orange
70,G,VIS,orange
71,G,VIS,orange
71,G,VIS,orange
66,G,VIS,orange
64,G,VIS,orange
71,G,VIS,orange
67,G,VIS,orange
68,G,VIS,orange
63,G,VIS,orange
65,G,VIS,orange
70,G,VIS,orange
66,G,VIS,orange
69,G,VIS,orange
69,G,VIS,orange
69,G,VIS,orange
67,G,VIS,orange
68,G,VIS,orange
67,G,VIS,orange
61,G,VIS,orange
65,G,VIS,orange
67,G,VIS,orange
73,G,VIS,orange
71,G,VIS,orange
73,G,VIS,orange
70,G,VIS,orange
72,G,VIS,orange
73,G,VIS,orange
66,G,VIS,orange
70,G,VIS,orange
74,G,VIS,orange
76,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
73,G,VIS,orange
65,G,VIS,orange
73,G,VIS,orange
76,G,VIS,orange
72,G,VIS,orange
66,G,VIS,orange
70,G,VIS,orange
74,G,VIS,orange
74,G,VIS,orange
70,G,VIS,orange
72,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
70,G,VIS,orange
70,G,VIS,orange
68,G,VIS,orange
76,G,VIS,orange
74,G,VIS,orange
74,G,VIS,orange
85,G,VIS,orange
80,G,VIS,orange
84,G,VIS,orange
80,G,VIS,orange
85,G,VIS,orange
83,G,VIS,orange
83,G,VIS,orange
76,G,VIS,orange
76,G,VIS,orange
64,G,VIS,orange
71,G,VIS,orange
64,G,VIS,orange
67,G,VIS,orange
66,G,VIS,orange
71,G,VIS,orange
78,G,VIS,orange
74,G,VIS,orange
70,G,VIS,orange
74,G,VIS,orange
72,G,VIS,orange
76,G,VIS,orange
80,G,VIS,orange
78,G,VIS,orange
79,G,VIS,orange
74,G,VIS,orange
67,G,VIS,orange
74,G,VIS,orange
73,G,VIS,orange
64,G,VIS,orange
71,G,VIS,orange
65,G,VIS,orange
65,G,VIS,orange
69,G,VIS,orange
73,G,VIS,orange
75,G,VIS,orange
70,G,VIS,orange
67,G,VIS,orange
65,G,VIS,orange
65,G,VIS,orange
67,G,VIS,orange
59,G,VIS,orange
67,G,VIS,orange
65,G,VIS,orange
72,G,VIS,orange
70,G,VIS,orange
64,G,VIS,orange
66,G,VIS,orange
68,G,VIS,orange
62,G,VIS,orange
66,G,VIS,orange
66,G,VIS,orange
68,G,VIS,orange
66,G,VIS,orange
65,G,VIS,orange
62,G,VIS,orange
67,G,VIS,orange
70,G,VIS,orange
65,G,VIS,orange
68,G,VIS,orange
67,G,VIS,orange
62,G,VIS,orange
67,G,VIS,orange
64,G,VIS,orange
63,G,VIS,orange
63,G,VIS,orange
65,G,VIS,orange
69,G,VIS,orange
65,G,VIS,orange
68,G,VIS,orange
71,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
66,G,VIS,orange
72,G,VIS,orange
69,G,VIS,orange
68,G,VIS,orange
69,G,VIS,orange
73,G,VIS,orange
73,G,VIS,orange
68,G,VIS,orange
76,G,VIS,orange
71,G,VIS,orange
75,G,VIS,orange
72,G,VIS,orange
76,G,VIS,orange
69,G,VIS,orange
75,G,VIS,orange
74,G,VIS,orange
73,G,VIS,orange
72,G,VIS,orange
78,G,VIS,orange
74,G,VIS,orange
71,G,VIS,orange
73,G,VIS,orange
78,G,VIS,orange
72,G,VIS,orange
74,G,VIS,orange
76,G,VIS,orange
76,G,VIS,orange
82,G,VIS,orange
78,G,VIS,orange
83,G,VIS,orange
76,G,VIS,orange
81,G,VIS,orange
84,G,VIS,orange
80,G,VIS,orange
71,G,VIS,orange
70,G,VIS,orange
65,G,VIS,orange
67,G,VIS,orange
64,G,VIS,orange
71,G,VIS,orange
64,G,VIS,orange
69,G,VIS,orange
68,G,VIS,orange
70,G,VIS,orange
74,G,VIS,orange
74,G,VIS,orange
78,G,VIS,orange
77,G,VIS,orange
79,G,VIS,orange
77,G,VIS,orange
72,G,VIS,orange
74,G,VIS,orange
70,G,VIS,orange
72,G,VIS,orange
64,G,VIS,orange
68,G,VIS,orange
72,G,VIS,orange
68,G,VIS,orange
67,G,VIS,orange
70,G,VIS,orange
67,G,VIS,orange
71,G,VIS,orange
64,G,VIS,orange
67,G,VIS,orange
64,G,VIS,orange
66,G,VIS,orange
66,G,VIS,orange
63,G,VIS,orange
66,G,VIS,orange
68,G,VIS,orange
65,G,VIS,orange
67,G,VIS,orange
69,G,VIS,orange
67,G,VIS,orange
71,G,VIS,orange
69,G,VIS,orange
68,G,VIS,orange
68,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
61,G,VIS,orange
63,G,VIS,orange
68,G,VIS,orange
62,G,VIS,orange
66,G,VIS,orange
68,G,VIS,orange
66,G,VIS,orange
68,G,VIS,orange
67,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
70,G,VIS,orange
72,G,VIS,orange
72,G,VIS,orange
70,G,VIS,orange
72,G,VIS,orange
66,G,VIS,orange
66,G,VIS,orange
65,G,VIS,orange
65,G,VIS,orange
65,G,VIS,orange
64,G,VIS,orange
71,G,VIS,orange
76,G,VIS,orange
69,G,VIS,orange
64,G,VIS,orange
65,G,VIS,orange
67,G,VIS,orange
72,G,VIS,orange
74,G,VIS,orange
72,G,VIS,orange
71,G,VIS,orange
70,G,VIS,orange
70,G,VIS,orange
74,G,VIS,orange
66,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
75,G,VIS,orange
68,G,VIS,orange
72,G,VIS,orange
79,G,VIS,orange
75,G,VIS,orange
73,G,VIS,orange
73,G,VIS,orange
72,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
73,G,VIS,orange
76,G,VIS,orange
73,G,VIS,orange
72,G,VIS,orange
79,G,VIS,orange
82,G,VIS,orange
83,G,VIS,orange
86,G,VIS,orange
80,G,VIS,orange
84,G,VIS,orange
78,G,VIS,orange
80,G,VIS,orange
74,G,VIS,orange
72,G,VIS,orange
73,G,VIS,orange
67,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
69,G,VIS,orange
66,G,VIS,orange
72,G,VIS,orange
72,G,VIS,orange
73,G,VIS,orange
78,G,VIS,orange
75,G,VIS,orange
75,G,VIS,orange
79,G,VIS,orange
73,G,VIS,orange
71,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
71,G,VIS,orange
70,G,VIS,orange
67,G,VIS,orange
72,G,VIS,orange
70,G,VIS,orange
72,G,VIS,orange
65,G,VIS,orange
68,G,VIS,orange
67,G,VIS,orange
66,G,VIS,orange
65,G,VIS,orange
63,G,VIS,orange
69,G,VIS,orange
71,G,VIS,orange
67,G,VIS,orange
68,G,VIS,orange
70,G,VIS,orange
68,G,VIS,orange
65,G,VIS,orange
66,G,VIS,orange
64,G,VIS,orange
69,G,VIS,orange
68,G,VIS,orange
66,G,VIS,orange
71,G,VIS,orange
66,G,VIS,orange
63,G,VIS,orange
66,G,VIS,orange
64,G,VIS,orange
67,G,VIS,orange
64,G,VIS,orange
62,G,VIS,orange
70,G,VIS,orange
65,G,VIS,orange
69,G,VIS,orange
66,G,VIS,orange
65,G,VIS,orange
67,G,VIS,orange
68,G,VIS,orange
68,G,VIS,orange
70,G,VIS,orange
68,G,VIS,orange
83,G,VIS,orange
89,G,VIS,orange
81,G,VIS,orange
69,G,VIS,orange
71,G,VIS,orange
71,G,VIS,orange
71,G,VIS,orange
71,G,VIS,orange
71,G,VIS,orange
70,G,VIS,orange
68,G,VIS,orange
65,G,VIS,orange
69,G,VIS,orange
69,G,VIS,orange
67,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
69,G,VIS,orange
71,G,VIS,orange
71,G,VIS,orange
71,G,VIS,orange
72,G,VIS,orange
72,G,VIS,orange
72,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
74,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
69,G,VIS,orange
72,G,VIS,orange
69,G,VIS,orange
73,G,VIS,orange
73,G,VIS,orange
74,G,VIS,orange
70,G,VIS,orange
71,G,VIS,orange
72,G,VIS,orange
73,G,VIS,orange
72,G,VIS,orange
72,G,VIS,orange
75,G,VIS,orange
76,G,VIS,orange
78,G,VIS,orange
82,G,VIS,orange
82,G,VIS,orange
79,G,VIS,orange
80,G,VIS,orange
77,G,VIS,orange
71,G,VIS,orange
72,G,VIS,orange
80,G,VIS,orange
74,G,VIS,orange
69,G,VIS,orange
64,G,VIS,orange
68,G,VIS,orange
70,G,VIS,orange
68,G,VIS,orange
69,G,VIS,orange
73,G,VIS,orange
72,G,VIS,orange
68,G,VIS,orange
75,G,VIS,orange
77,G,VIS,orange
80,G,VIS,orange
79,G,VIS,orange
77,G,VIS,orange
68,G,VIS,orange
73,G,VIS,orange
74,G,VIS,orange
73,G,VIS,orange
70,G,VIS,orange
68,G,VIS,orange
72,G,VIS,orange
68,G,VIS,orange
63,G,VIS,orange
67,G,VIS,orange
67,G,VIS,orange
65,G,VIS,orange
64,G,VIS,orange
68,G,VIS,orange
64,G,VIS,orange
67,G,VIS,orange
70,G,VIS,orange
62,G,VIS,orange
70,G,VIS,orange
70,G,VIS,orange
67,G,VIS,orange
67,G,VIS,orange
64,G,VIS,orange
65,G,VIS,orange
64,G,VIS,orange
62,G,VIS,orange
66,G,VIS,orange
70,G,VIS,orange
67,G,VIS,orange
67,G,VIS,orange
69,G,VIS,orange
68,G,VIS,orange
64,G,VIS,orange
64,G,VIS,orange
64,G,VIS,orange
64,G,VIS,orange
68,G,VIS,orange
65,G,VIS,orange
74,G,VIS,orange
66,G,VIS,orange
67,G,VIS,orange
69,G,VIS,orange
65,G,VIS,orange
65,G,VIS,orange
66,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
66,G,VIS,orange
69,G,VIS,orange
69,G,VIS,orange
84,G,VIS,orange
76,G,VIS,orange
84,G,VIS,orange
79,G,VIS,orange
81,G,VIS,orange
86,G,VIS,orange
87,G,VIS,orange
74,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
73,G,VIS,orange
73,G,VIS,orange
68,G,VIS,orange
70,G,VIS,orange
71,G,VIS,orange
70,G,VIS,orange
68,G,VIS,orange
69,G,VIS,orange
68,G,VIS,orange
67,G,VIS,orange
67,G,VIS,orange
73,G,VIS,orange
72,G,VIS,orange
72,G,VIS,orange
74,G,VIS,orange
75,G,VIS,orange
65,G,VIS,orange
66,G,VIS,orange
63,G,VIS,orange
67,G,VIS,orange
66,G,VIS,orange
67,G,VIS,orange
67,G,VIS,orange
70,G,VIS,orange
70,G,VIS,orange
67,G,VIS,orange
77,G,VIS,orange
76,G,VIS,orange
73,G,VIS,orange
71,G,VIS,orange
72,G,VIS,orange
74,G,VIS,orange
77,G,VIS,orange
79,G,VIS,orange
76,G,VIS,orange
75,G,VIS,orange
80,G,VIS,orange
79,G,VIS,orange
83,G,VIS,orange
79,G,VIS,orange
84,G,VIS,orange
82,G,VIS,orange
75,G,VIS,orange
76,G,VIS,orange
76,G,VIS,orange
76,G,VIS,orange
63,G,VIS,orange
73,G,VIS,orange
72,G,VIS,orange
68,G,VIS,orange
66,G,VIS,orange
69,G,VIS,orange
71,G,VIS,orange
67,G,VIS,orange
70,G,VIS,orange
73,G,VIS,orange
70,G,VIS,orange
73,G,VIS,orange
80,G,VIS,orange
79,G,VIS,orange
84,G,VIS,orange
83,G,VIS,orange
85,G,VIS,orange
77,G,VIS,orange
82,G,VIS,orange
77,G,VIS,orange
77,G,VIS,orange
68,G,VIS,orange
64,G,VIS,orange
70,G,VIS,orange
72,G,VIS,orange
71,G,VIS,orange
73,G,VIS,orange
64,G,VIS,orange
63,G,VIS,orange
64,G,VIS,orange
71,G,VIS,orange
64,G,VIS,orange
66,G,VIS,orange
69,G,VIS,orange
60,G,VIS,orange
61,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
72,G,VIS,orange
70,G,VIS,orange
67,G,VIS,orange
68,G,VIS,orange
69,G,VIS,orange
70,G,VIS,orange
63,G,VIS,orange
65,G,VIS,orange
69,G,VIS,orange
68,G,VIS,orange
66,G,VIS,orange
64,G,VIS,orange
68,G,VIS,orange
65,G,VIS,orange
62,G,VIS,orange
72,G,VIS,orange
65,G,VIS,orange
68,G,VIS,orange
74,G,VIS,orange
64,G,VIS,orange
69,G,VIS,orange
66,G,VIS,orange
66,G,VIS,orange
72,G,VIS,orange
69,G,VIS,orange
68,G,VIS,orange
67,G,VIS,orange
67,G,VIS,orange
67,G,VIS,orange
70,G,VIS,orange
65,G,VIS,orange
68,G,VIS,orange
67,G,VIS,orange
68,G,VIS,orange
68,G,VIS,orange
65,G,VIS,orange
68,G,VIS,orange
76,G,VIS,orange
77,G,VIS,orange
80,G,VIS,orange
72,G,VIS,orange
76,G,VIS,orange
73,G,VIS,orange
84,G,VIS,orange
88,G,VIS,orange
83,G,VIS,orange
78,G,VIS,orange
72,G,VIS,orange
68,G,VIS,orange
74,G,VIS,orange
73,G,VIS,orange
68,G,VIS,orange
71,G,VIS,orange
73,G,VIS,orange
71,G,VIS,orange
67,G,VIS,orange
67,G,VIS,orange
69,G,VIS,orange
76,G,VIS,orange
73,G,VIS,orange
71,G,VIS,orange
71,G,VIS,orange
75,G,VIS,orange
74,G,VIS,orange
78,G,VIS,orange
72,G,VIS,orange
77,G,VIS,orange
71,G,VIS,orange
73,G,VIS,orange
67,G,VIS,orange
64,G,VIS,orange
67,G,VIS,orange
69,G,VIS,orange
73,G,VIS,orange
66,G,VIS,orange
70,G,VIS,orange
78,G,VIS,orange
74,G,VIS,orange
72,G,VIS,orange
74,G,VIS,orange
74,G,VIS,orange
74,G,VIS,orange
76,G,VIS,orange
75,G,VIS,orange
79,G,VIS,orange
78,G,VIS,orange
82,G,VIS,orange
80,G,VIS,orange
79,G,VIS,orange
80,G,VIS,orange
76,G,VIS,orange
78,G,VIS,orange
82,G,VIS,orange
76,G,VIS,orange
74,G,VIS,orange
70,G,VIS,orange
66,G,VIS,orange
67,G,VIS,orange
64,G,VIS,orange
67,G,VIS,orange
67,G,VIS,orange
69,G,VIS,orange
75,G,VIS,orange
73,G,VIS,orange
73,G,VIS,orange
73,G,VIS,orange
76,G,VIS,orange
77,G,VIS,orange
76,G,VIS,orange
78,G,VIS,orange
77,G,VIS,orange
82,G,VIS,orange
83,G,VIS,orange
74,G,VIS,orange
72,G,VIS,orange
71,G,VIS,orange
65,G,VIS,orange
67,G,VIS,orange
66,G,VIS,orange
67,G,VIS,orange
66,G,VIS,orange
68,G,VIS,orange
59,G,VIS,orange
67,G,VIS,orange
68,G,VIS,orange
65,G,VIS,orange
68,G,VIS,orange
65,G,VIS,orange
70,G,VIS,orange
66,G,VIS,orange
63,G,VIS,orange
65,G,VIS,orange
67,G,VIS,orange
67,G,VIS,orange
69,G,VIS,orange
71,G,VIS,orange
75,G,VIS,orange
72,G,VIS,orange
73,G,VIS,orange
64,G,VIS,orange
66,G,VIS,orange
67,G,VIS,orange
65,G,VIS,orange
65,G,VIS,orange
65,G,VIS,orange
68,G,VIS,orange
70,G,VIS,orange
70,G,VIS,orange
66,G,VIS,orange
66,G,VIS,orange
66,G,VIS,orange
72,G,VIS,orange
65,G,VIS,orange
71,G,VIS,orange
71,G,VIS,orange
70,G,VIS,orange
74,G,VIS,orange
69,G,VIS,orange
66,G,VIS,orange
70,G,VIS,orange
73,G,VIS,orange
69,G,VIS,orange
74,G,VIS,orange
73,G,VIS,orange
68,G,VIS,orange
69,G,VIS,orange
66,G,VIS,orange
66,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
67,G,VIS,orange
64,G,VIS,orange
59,G,VIS,orange
54,G,VIS,orange
60,G,VIS,orange
63,G,VIS,orange
65,G,VIS,orange
60,G,VIS,orange
80,G,VIS,orange
75,G,VIS,orange
71,G,VIS,orange
72,G,VIS,orange
77,G,VIS,orange
80,G,VIS,orange
77,G,VIS,orange
77,G,VIS,orange
76,G,VIS,orange
74,G,VIS,orange
72,G,VIS,orange
71,G,VIS,orange
76,G,VIS,orange
74,G,VIS,orange
65,G,VIS,orange
72,G,VIS,orange
74,G,VIS,orange
70,G,VIS,orange
65,G,VIS,orange
63,G,VIS,orange
62,G,VIS,orange
65,G,VIS,orange
73,G,VIS,orange
67,G,VIS,orange
72,G,VIS,orange
75,G,VIS,orange
68,G,VIS,orange
79,G,VIS,orange
74,G,VIS,orange
70,G,VIS,orange
66,G,VIS,orange
67,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
73,G,VIS,orange
70,G,VIS,orange
75,G,VIS,orange
75,G,VIS,orange
77,G,VIS,orange
72,G,VIS,orange
68,G,VIS,orange
73,G,VIS,orange
78,G,VIS,orange
70,G,VIS,orange
75,G,VIS,orange
80,G,VIS,orange
79,G,VIS,orange
76,G,VIS,orange
73,G,VIS,orange
78,G,VIS,orange
80,G,VIS,orange
82,G,VIS,orange
77,G,VIS,orange
75,G,VIS,orange
76,G,VIS,orange
74,G,VIS,orange
72,G,VIS,orange
69,G,VIS,orange
65,G,VIS,orange
68,G,VIS,orange
68,G,VIS,orange
66,G,VIS,orange
70,G,VIS,orange
70,G,VIS,orange
71,G,VIS,orange
74,G,VIS,orange
70,G,VIS,orange
71,G,VIS,orange
72,G,VIS,orange
75,G,VIS,orange
75,G,VIS,orange
76,G,VIS,orange
80,G,VIS,orange
79,G,VIS,orange
77,G,VIS,orange
81,G,VIS,orange
74,G,VIS,orange
75,G,VIS,orange
68,G,VIS,orange
70,G,VIS,orange
68,G,VIS,orange
66,G,VIS,orange
67,G,VIS,orange
69,G,VIS,orange
73,G,VIS,orange
69,G,VIS,orange
69,G,VIS,orange
67,G,VIS,orange
66,G,VIS,orange
68,G,VIS,orange
65,G,VIS,orange
67,G,VIS,orange
66,G,VIS,orange
68,G,VIS,orange
68,G,VIS,orange
66,G,VIS,orange
67,G,VIS,orange
70,G,VIS,orange
70,G,VIS,orange
68,G,VIS,orange
66,G,VIS,orange
67,G,VIS,orange
62,G,VIS,orange
64,G,VIS,orange
66,G,VIS,orange
67,G,VIS,orange
68,G,VIS,orange
65,G,VIS,orange
63,G,VIS,orange
65,G,VIS,orange
69,G,VIS,orange
64,G,VIS,orange
66,G,VIS,orange
70,G,VIS,orange
68,G,VIS,orange
66,G,VIS,orange
72,G,VIS,orange
72,G,VIS,orange
65,G,VIS,orange
70,G,VIS,orange
73,G,VIS,orange
68,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
66,G,VIS,orange
64,G,VIS,orange
67,G,VIS,orange
69,G,VIS,orange
65,G,VIS,orange
66,G,VIS,orange
68,G,VIS,orange
64,G,VIS,orange
61,G,VIS,orange
62,G,VIS,orange
69,G,VIS,orange
64,G,VIS,orange
62,G,VIS,orange
66,G,VIS,orange
75,G,VIS,orange
72,G,VIS,orange
61,G,VIS,orange
57,G,VIS,orange
58,G,VIS,orange
55,G,VIS,orange
63,G,VIS,orange
65,G,VIS,orange
65,G,VIS,orange
63,G,VIS,orange
78,G,VIS,orange
79,G,VIS,orange
75,G,VIS,orange
73,G,VIS,orange
76,G,VIS,orange
81,G,VIS,orange
78,G,VIS,orange
77,G,VIS,orange
78,G,VIS,orange
74,G,VIS,orange
70,G,VIS,orange
73,G,VIS,orange
75,G,VIS,orange
78,G,VIS,orange
72,G,VIS,orange
66,G,VIS,orange
70,G,VIS,orange
70,G,VIS,orange
69,G,VIS,orange
66,G,VIS,orange
65,G,VIS,orange
65,G,VIS,orange
67,G,VIS,orange
63,G,VIS,orange
65,G,VIS,orange
69,G,VIS,orange
